               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12202,            0.019137,                   0,            0.014848,             0.10779,           0.0069947,           0.0024782,             0.12361,            0.010243,                   0,                   0,                   0,                 0.1
                   1,             0.12073,             0.01894,                   0,            0.014313,            0.099502,           0.0066559,           0.0024698,             0.12394,            0.010294,                   0,           9.998e-05,           9.998e-05,              0.0991
                   2,             0.12147,            0.018883,                   0,            0.015702,             0.12272,           0.0067765,           0.0025086,             0.12394,            0.010298,                   0,          0.00019992,          0.00019992,              0.0982
                   3,             0.12136,            0.019327,                   0,            0.027361,              0.1194,            0.013699,            0.004434,             0.10908,            0.011402,                   0,          0.00029982,          0.00029982,              0.0973
                   4,             0.11064,            0.020675,                   0,            0.027314,             0.10116,            0.016571,           0.0054272,            0.095426,            0.012501,                   0,          0.00039968,          0.00039968,              0.0964
                   5,             0.10267,            0.023445,                   0,            0.051746,             0.11774,            0.024918,           0.0077535,            0.087964,            0.012987,                   0,          0.00049951,          0.00049951,              0.0955
                   6,            0.093087,            0.023752,                   0,             0.11091,             0.12935,            0.059229,            0.017507,             0.08397,            0.012604,                   0,          0.00059929,          0.00059929,            0.094599
                   7,            0.088283,            0.025447,                   0,             0.11247,             0.20398,            0.071178,            0.019855,            0.090725,            0.011899,                   0,          0.00069903,          0.00069903,            0.093699
                   8,            0.081197,            0.025598,                   0,             0.10814,             0.22554,            0.072284,            0.020372,            0.090084,             0.01192,                   0,          0.00079873,          0.00079873,            0.092799
                   9,            0.081208,            0.026851,                   0,             0.22855,             0.15589,             0.11224,            0.034838,            0.095674,            0.011056,                   0,           0.0008984,           0.0008984,            0.091898
                  10,            0.083782,            0.025581,                   0,            0.032921,             0.24378,            0.022639,           0.0082584,              0.1058,            0.011791,                   0,          0.00099802,          0.00099802,            0.090998
                  11,            0.085789,            0.022769,                   0,              0.1557,             0.32338,             0.10348,            0.027687,             0.10156,            0.011587,                   0,           0.0010976,           0.0010976,            0.090098
                  12,             0.08924,             0.02087,                   0,            0.046203,            0.058043,            0.009031,           0.0021727,             0.11334,            0.013386,                   0,           0.0011971,           0.0011971,            0.089197
                  13,            0.084504,             0.02336,                   0,              0.0387,            0.086235,            0.017012,            0.005027,            0.094818,            0.015398,                   0,           0.0012967,           0.0012967,            0.088297
                  14,            0.073846,            0.025039,                   0,           0.0077283,             0.45605,           0.0064366,           0.0017388,             0.10474,             0.02318,                   0,           0.0013961,           0.0013961,            0.087396
                  15,            0.072092,            0.024011,                   0,            0.032865,             0.31675,            0.025117,           0.0072456,            0.091032,             0.02849,                   0,           0.0014955,           0.0014955,            0.086496
                  16,            0.081112,            0.020272,                   0,            0.053155,             0.13765,            0.026819,           0.0070313,             0.10421,             0.02407,                   0,           0.0015949,           0.0015949,            0.085595
                  17,            0.085159,            0.020306,                   0,             0.14675,             0.19071,            0.082607,            0.023342,             0.10003,             0.03445,                   0,           0.0016943,           0.0016943,            0.084694
                  18,            0.073328,            0.021676,                   0,              0.1501,             0.20066,             0.11066,            0.030573,            0.086726,            0.047482,                   0,           0.0017936,           0.0017936,            0.083794
                  19,            0.061767,            0.024595,                   0,            0.018472,             0.26036,            0.011634,           0.0041192,            0.095601,            0.059262,                   0,           0.0018929,           0.0018929,            0.082893
                  20,            0.065166,            0.023052,                   0,            0.063394,             0.39303,            0.050378,            0.012601,             0.10262,            0.045189,                   0,           0.0019921,           0.0019921,            0.081992
                  21,            0.079733,            0.019442,                   0,             0.16285,             0.13101,            0.078065,            0.018516,            0.085956,            0.047371,                   0,           0.0020913,           0.0020913,            0.081091
                  22,            0.069153,            0.022204,                   0,             0.12192,              0.1791,            0.097077,            0.025093,            0.093645,             0.06422,                   0,           0.0021904,           0.0021904,             0.08019
                  23,            0.060547,            0.023901,                   0,            0.094844,             0.23217,             0.10648,            0.042028,             0.08448,              0.1302,                   0,           0.0022895,           0.0022895,             0.07929
                  24,            0.058455,            0.025194,                   0,             0.15174,             0.32504,             0.12451,            0.033331,             0.10079,            0.059022,                   0,           0.0023886,           0.0023886,            0.078389
                  25,            0.081799,            0.018421,                   0,             0.12232,             0.24046,            0.072401,            0.022357,            0.092251,            0.059456,                   0,           0.0024876,           0.0024876,            0.077488
                  26,            0.067648,            0.019623,                   0,             0.13975,             0.25207,            0.082346,            0.026163,            0.090847,            0.049061,                   0,           0.0025866,           0.0025866,            0.076587
                  27,            0.068998,            0.021781,                   0,             0.15187,             0.27032,            0.093386,            0.031111,            0.089602,            0.041069,                   0,           0.0026856,           0.0026856,            0.075686
                  28,            0.069493,            0.021405,                   0,             0.17903,             0.27232,             0.10457,            0.036863,            0.088486,            0.034958,                   0,           0.0027845,           0.0027845,            0.074784
                  29,            0.069388,            0.021845,                   0,             0.19679,             0.27861,             0.11904,            0.042803,            0.087474,            0.030231,                   0,           0.0028833,           0.0028833,            0.073883
                  30,            0.068411,            0.021302,                   0,            0.086155,              0.3466,            0.058365,            0.019864,            0.089211,            0.032958,                   0,           0.0029822,           0.0029822,            0.072982
                  31,            0.073926,            0.019951,                   0,             0.28182,             0.61526,             0.25126,            0.092545,            0.083976,            0.031587,                   0,            0.003081,            0.003081,            0.072081
                  32,            0.062534,            0.023214,                   0,             0.21474,             0.64179,             0.29387,             0.14015,            0.085203,            0.067867,                   0,           0.0031797,           0.0031797,             0.07118
                  33,            0.069201,            0.020429,                   0,             0.18724,             0.56219,             0.20567,            0.063378,            0.097115,            0.037969,                   0,           0.0032784,           0.0032784,            0.070278
                  34,            0.068905,            0.019841,                   0,             0.30927,              0.4908,             0.32601,             0.10854,            0.079601,            0.033177,                   0,           0.0033771,           0.0033771,            0.069377
